doc_title,para_num,term_str,n
ASHPUTTEL,14,soon,1
ASHPUTTEL,14,the,2
ASHPUTTEL,14,this,1
ASHPUTTEL,14,to,3
ASHPUTTEL,14,took,1
ASHPUTTEL,14,up,1
ASHPUTTEL,14,when,1
ASHPUTTEL,14,with,2
ASHPUTTEL,15,a,1
ASHPUTTEL,15,again,1
ASHPUTTEL,15,always,1
ASHPUTTEL,15,amid,1
ASHPUTTEL,15,and,13
ASHPUTTEL,15,as,5
ASHPUTTEL,15,ashes,2
ASHPUTTEL,15,ashputtel,1
ASHPUTTEL,15,at,1
ASHPUTTEL,15,away,2
ASHPUTTEL,15,back,1
ASHPUTTEL,15,beautiful,2
ASHPUTTEL,15,been,1
ASHPUTTEL,15,beneath,1
ASHPUTTEL,15,bird,1
ASHPUTTEL,15,broken,1
ASHPUTTEL,15,burning,1
ASHPUTTEL,15,but,2
ASHPUTTEL,15,by,1
ASHPUTTEL,15,came,2
ASHPUTTEL,15,care,1
ASHPUTTEL,15,carry,1
ASHPUTTEL,15,chimney,1
ASHPUTTEL,15,clothes,1
ASHPUTTEL,15,could,1
ASHPUTTEL,15,danced,1
ASHPUTTEL,15,did,1
ASHPUTTEL,15,dim,1
ASHPUTTEL,15,dirty,1
ASHPUTTEL,15,door,2
ASHPUTTEL,15,down,1
ASHPUTTEL,15,father,1
ASHPUTTEL,15,feast,1
ASHPUTTEL,15,followed,1
ASHPUTTEL,15,for,2
ASHPUTTEL,15,found,1
ASHPUTTEL,15,frock,2
ASHPUTTEL,15,from,1
ASHPUTTEL,15,go,2
ASHPUTTEL,15,grey,1
ASHPUTTEL,15,had,6
ASHPUTTEL,15,hazeltree,1
ASHPUTTEL,15,he,2
ASHPUTTEL,15,her,6
ASHPUTTEL,15,herself,1
ASHPUTTEL,15,hid,1
ASHPUTTEL,15,him,2
ASHPUTTEL,15,home,4
ASHPUTTEL,15,hour,1
ASHPUTTEL,15,house,1
ASHPUTTEL,15,i,1
