term_str,PC0,PC1,PC2,PC3,PC4
bed,-0.006164525024820845,0.006505198932533496,0.009229408984821691,0.0012996299379764288,-0.004395055121207747
bring,-0.003467021843672291,0.0013073877829392886,-0.002084263090841674,0.0018772844316183616,-0.0020628174171197543
another,-0.001167129768601523,-0.000267980725641551,-0.0011546400483077473,-0.0002703250608393605,0.00034884894227910925
heart,-0.0036365620629208954,-0.0007873982899917955,-0.0006865512318946353,-0.0018507752410388766,-0.0008710994689326169
behind,-0.0011510747189770606,0.002108285221253372,-0.0005473882441745975,-0.0023250605305615234,-0.0006280527595045658
every,-0.0026570013343143227,0.0008515208296785441,0.006448852743281587,0.0007465583419004545,-0.000944896457768418
fast,0.0014930076139570304,-0.0037131573940259025,-0.0006187144541490863,0.0021751972310633558,-0.001600673225602428
look,-0.0009853224547505409,0.0019750532869397875,-0.0005282997468260797,-0.0006028722651556178,-0.0007789500865222393
wolf,0.04808436729837761,0.08697368741332892,0.08195453518318815,0.050590545189121545,-0.033652331986463786
fire,-0.0032491531821412533,0.008801732867646607,-0.009262296693110884,-0.014446180656126456,0.004965905694678333
boy,-0.01661481330315095,-0.007875914867134546,0.012658874851516627,-0.027718941641541726,-0.00791772998600617
while,-0.0019079926650673164,0.0009828095790411252,-0.004764907023225168,0.0036009841507426694,-0.00437512697827474
gone,-0.0022958262971309253,-0.0001381437232555902,-0.00013411207661847817,-0.0013699846254728552,-8.272759801640065e-05
evening,-0.0028465504609421835,0.002299456979754316,0.0003869448640983997,0.001862080521223621,-0.0012977013029870973
cat,0.08384305813124737,-0.009499680937835422,-0.010383931371365248,-0.015096028711083669,-0.005547282832421604
tell,-0.0030158769340612687,-0.00036302430422995556,-0.0004244058336795405,0.004261563096742318,-0.0009028039631339439
under,-0.0023013957411810028,-0.0009809261799681708,0.00048612801920378424,0.0007872074574470832,0.001945673155014907
something,-0.0017087191310024947,0.008076164949384521,-0.003242692555289985,-0.0002497118920248256,-0.0020749444390824293
prince,-0.021691164991575557,-0.027679286183757205,0.00685907829238008,0.03499250816499824,-0.006997827813836224
work,-0.001670286334099407,0.00012928450064583272,-0.003717410262712605,0.000636565899565892,-0.007712382276959606
laid,4.4404500466922363e-05,0.002430008859993912,-8.658582713184783e-05,0.00022801591527093633,-0.00020485151063983872
white,-0.006487873828226311,0.002757873697915915,0.006341332266517539,-0.000713685534280579,0.0012719495033097603
